Symbol,Name,Last_Sale,Net_Change,Percent_Change,Market_Cap,Volume,Sector,Industry
OTEX,Open Text Corporation Common Shares,$33.09 ,-0.55,-1.64%,8874405247,346704,Technology,EDP Services
GPK,Graphic Packaging Holding Company,$29.50 ,-0.05,-0.17%,8853371142,1523134,Consumer Discretionary,Containers/Packaging
NNN,NNN REIT Inc. Common Stock,$48.15 ,0.14,0.29%,8843240556,595069,Real Estate,Real Estate Investment Trusts
RBC,RBC Bearings Incorporated Common Stock,$299.87 ,-1.68,-0.56%,8765159018,553862,Industrials,Metal Fabrications
KNX,Knight-Swift Transportation Holdings Inc.,$54.05 ,1.33,2.52%,8748749200,2337190,Industrials,Trucking Freight/Courier Services
DSGX,Descartes Systems Group Inc. (The) Common Stock,$102.18 ,-2.72,-2.59%,8734410263,128652,Technology,Computer Software: Prepackaged Software
AAON,AAON Inc. Common Stock,$107.09 ,0.07,0.07%,8675698019,231844,Industrials,Industrial Machinery/Components
ESLT,Elbit Systems Ltd. Ordinary Shares,$195.03 ,-0.54,-0.28%,8649580500,65568,Industrials,Military/Government/Technical
DINO,HF Sinclair Corporation Common Stock,$45.29 ,0.06,0.13%,8642088977,1989466,Energy,Natural Gas Distribution
MOS,Mosaic Company (The) Common Stock,$27.02 ,0.49,1.85%,8609587466,3530971,Industrials,Agricultural Chemicals
LEVI,Levi Strauss & Co Class A Common Stock,$21.65 ,0.19,0.89%,8605941877,2003609,Consumer Discretionary,Apparel
WEX,WEX Inc. common stock,$209.10 ,3.65,1.78%,8590673182,269833,Consumer Discretionary,Business Services
LAD,Lithia Motors Inc. Common Stock,$320.83 ,5.61,1.78%,8578954096,423582,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CROX,Crocs Inc. Common Stock,$144.31 ,-3.09,-2.10%,8569868399,975877,Consumer Discretionary,Shoe Manufacturing
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,$285.32 ,-1.73,-0.60%,8559600000,33864,Consumer Discretionary,Aerospace
AIT,Applied Industrial Technologies Inc. Common Stock,$223.06 ,1.14,0.51%,8556298314,253524,Consumer Discretionary,Industrial Specialties
VIPS,Vipshop Holdings Limited American Depositary Shares each representing two ordinary shares,$15.77 ,0.49,3.21%,8552118704,9279886,Consumer Discretionary,Catalog/Specialty Distribution
KBR,KBR Inc. Common Stock,$64.18 ,-0.48,-0.74%,8539160552,944322,Industrials,Military/Government/Technical
YPF,YPF Sociedad Anonima Common Stock,$21.68 ,-0.38,-1.72%,8527021352,1681433,Energy,Integrated oil Companies
GLOB,Globant S.A. Common Shares,$197.65 ,-0.36,-0.18%,8516003637,204341,Technology,EDP Services
APPF,AppFolio Inc. Class A Common Stock,$234.54 ,-1.78,-0.75%,8507367395,151898,Technology,Computer Software: Prepackaged Software
ROIV,Roivant Sciences Ltd. Common Shares,$11.48 ,-0.09,-0.78%,8489710540,5222311,Health Care,Biotechnology: Pharmaceutical Preparations
SOFI,SoFi Technologies Inc. Common Stock  ,$7.95 ,0.19,2.45%,8474261406,33282521,Finance,Finance: Consumer Services
WCC,WESCO International Inc. Common Stock,$171.58 ,-0.53,-0.31%,8434618004,716696,Consumer Discretionary,Telecommunications Equipment
ALSN,Allison Transmission Holdings Inc. Common Stock,$96.50 ,0.61,0.64%,8408805517,952149,Consumer Discretionary,Auto Parts:O.E.M.
CHKEZ,Chesapeake Energy Corporation Class B Warrants,$64.04 ,0,0.00%,8406860734,30,Energy,Oil & Gas Production
